epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3576.68,0.53881,0.43668,0.96554,0.50365,0.99775,0.70772,0.52909,0.6901,0.20347,0.84309,0.000848969,0.000848969,0.000848969
43,3659.6,0.53686,0.4388,0.96297,0.99328,0.98938,0.99398,0.66148,0.69235,0.19406,0.84014,0.000834822,0.000834822,0.000834822
44,3742.51,0.52606,0.4226,0.96419,0.96337,0.99775,0.99421,0.62484,0.70771,0.19185,0.84589,0.000820675,0.000820675,0.000820675
45,3825.26,0.53043,0.41255,0.95622,0.77351,0.99324,0.87116,0.62471,0.66721,0.18756,0.84028,0.000806528,0.000806528,0.000806528
46,3908.28,0.53257,0.41028,0.96705,0.7705,0.83108,0.81865,0.61118,0.64465,0.185,0.84045,0.00079238,0.00079238,0.00079238
47,3991.05,0.50242,0.40182,0.95532,0.96322,0.82883,0.95281,0.65384,0.67297,0.19306,0.84289,0.000778233,0.000778233,0.000778233
48,4073.83,0.5052,0.40734,0.95174,0.98823,0.99577,0.99369,0.71136,0.64199,0.17648,0.83911,0.000764086,0.000764086,0.000764086
49,4156.98,0.4982,0.38248,0.94926,0.98489,0.83108,0.92801,0.61846,0.66672,0.18616,0.84039,0.000749939,0.000749939,0.000749939
50,4239.86,0.49909,0.38429,0.94709,0.93357,0.99536,0.99388,0.63878,0.67011,0.18881,0.84121,0.000735792,0.000735792,0.000735792
51,4322.71,0.49259,0.36459,0.94766,0.94018,0.99775,0.99376,0.63439,0.67266,0.19269,0.83991,0.000721645,0.000721645,0.000721645
52,4405.96,0.49546,0.38502,0.95116,0.99169,0.82607,0.91173,0.60518,0.65262,0.1917,0.83838,0.000707498,0.000707498,0.000707498
53,4489.09,0.49019,0.37251,0.94805,0.76604,0.82883,0.87302,0.57804,0.6866,0.19866,0.83877,0.000693351,0.000693351,0.000693351
54,4572.23,0.48773,0.34766,0.9444,0.83512,0.99775,0.95286,0.60776,0.63307,0.17855,0.83665,0.000679204,0.000679204,0.000679204
